Сохранить с явными мипами или без них.	Save with explicit mips or without them.	Guardar con mips explícitos o sin ellos.
Cube-map текстура.	A cube-map texture.	Una textura cube-map.
Ваниль не использует; несжатый cube-map не загрузится.	Vanilla does not use them; an uncompressed cube map will not load.	El juego original no las usa; un cube-map sin comprimir no se cargará.
Обычная 2D-текстура.	A plain 2D texture.	Textura 2D normal.
Режим фильтрации вне 1..6.	A filter mode outside 1..6.	Modo de filtrado fuera de 1..6.
Индекс в таблицу без проверки — мусорное состояние сэмплера.	An unchecked index into a table — a garbage sampler state.	Índice en una tabla sin comprobación — estado de sampler basura.
Фильтр 1..6 (обычно 2 или 6).	Filter 1..6 (usually 2 or 6).	Filtro 1..6 (normalmente 2 o 6).
У текстуры задана маска.	The texture has a mask set.	La textura tiene máscara.
На D3D9 не используется.	Not used on D3D9.	En D3D9 no se usa.
Безвредно.	Harmless.	Inofensivo.
Имя TXD длиннее 20 символов.	A TXD name longer than 20 characters.	Un nombre de TXD de más de 20 caracteres.
Каталог IMG молча пропустит запись — TXD не найдётся.	The IMG directory silently skips the entry — the TXD will not be found.	El directorio IMG se salta la entrada en silencio — el TXD no se encontrará.
Имя ≤ 20 символов.	Name ≤ 20 characters.	Nombre ≤ 20 caracteres.
Родитель TXD (txdp) переопределён.	The TXD parent (txdp) is redefined.	El padre del TXD (txdp) se redefine.
Действует последний txdp; первый забыт.	The last txdp wins; the first is forgotten.	Vale el último txdp; el primero se olvida.
Оставить одно объявление txdp.	Keep one txdp declaration.	Dejar una sola declaración txdp.
III: в models лежит txd.img — кэш текстур, который игра собирает под видеокарту.	III: models holds txd.img — a texture cache the game builds for the video card.	III: en models hay un txd.img — una caché de texturas que el juego construye para la tarjeta gráfica.
Пока кэш есть, все TXD берутся из него: правки текстур в gta3.img не видны (а если кэш старше архива — точно устарел).	While the cache exists every TXD comes from it: texture edits in gta3.img are invisible (and a cache older than the archive is certainly stale).	Mientras exista la caché, todos los TXD salen de ella: los cambios de texturas en gta3.img no se ven (y una caché más antigua que el archivo está seguro desactualizada).
После правки TXD удалить models/txd.img и txd.dir — игра пересоберёт их при запуске.	After editing TXDs delete models/txd.img and txd.dir — the game rebuilds them at start-up.	Tras editar TXD, borrar models/txd.img y txd.dir — el juego los reconstruye al iniciar.
Слишком много различных TXD.	Too many different TXDs.	Demasiados TXD distintos.
Пул на 5000 слотов — при переполнении запись по NULL, краш.	The pool holds 5000 slots — on overflow a write through NULL, a crash.	El pool es de 5000 slots — al desbordarse, escritura por NULL, cierre.
Объединять текстуры в общие TXD или limit adjuster.	Merge textures into shared TXDs, or a limit adjuster.	Unir texturas en TXD compartidos, o un limit adjuster.
TXD не используется ни одной IDE-моделью.	The TXD is used by no IDE model.	Ningún modelo del IDE usa este TXD.
Занимает слот пула (5000).	Takes a pool slot (5000).	Ocupa un slot del pool (5000).
Удалить или прописать модели.	Delete it or assign models to it.	Borrarlo o asignarle modelos.
Слишком много COL-записей.	Too many COL entries.	Demasiadas entradas COL.
Пул CColModel на 10150 — переполнение = краш при старте.	The CColModel pool holds 10150 — an overflow = a crash at startup.	El pool CColModel es de 10150 — un desbordamiento = cierre al arrancar.
Убрать лишние коллизии или limit adjuster.	Remove extra collisions, or a limit adjuster.	Quitar colisiones sobrantes, o un limit adjuster.
Больше 255 .col файлов в IMG.	More than 255 .col files in the IMGs.	Más de 255 archivos .col en los IMG.
Пул CColStore на 255 слотов — запись по NULL при старте.	The CColStore pool has 255 slots — a write through NULL at startup.	El pool CColStore tiene 255 slots — escritura por NULL al arrancar.
Объединить .col в меньшее число файлов.	Merge the .col files into fewer.	Unir los .col en menos archivos.
Имя записи COL без NUL в 22 байтах.	A COL entry name without a NUL within 22 bytes.	Un nombre de entrada COL sin NUL en 22 bytes.
Хэш считается по мусору — модель не найдёт коллизию.	The hash is computed over garbage — the model will not find its collision.	El hash se calcula sobre basura — el modelo no encontrará su colisión.
Имя ≤ 21 символа.	Name ≤ 21 characters.	Nombre ≤ 21 caracteres.
Запись в формате COL4.	An entry in the COL4 format.	Una entrada en formato COL4.
Стартовый проход принимает только COLL/COL2/COL3 — коллизия не подключится.	The startup pass accepts only COLL/COL2/COL3 — the collision will not attach.	La pasada de arranque solo acepta COLL/COL2/COL3 — la colisión no se conectará.
Пересохранить как COL3.	Re-save as COL3.	Reguardar como COL3.
COL1: numVertices не помещается в запись.	COL1: numVertices does not fit into the entry.	COL1: numVertices no cabe en la entrada.
Битая запись — краш или нет коллизии.	A broken entry — a crash or no collision.	Entrada rota — cierre o sin colisión.
Размер записи меньше заголовка.	The entry size is smaller than the header.	El tamaño de la entrada es menor que la cabecera.
Отрицательный размер данных — огромный Malloc → NULL → краш.	A negative data size — a huge Malloc → NULL → a crash.	Tamaño de datos negativo — Malloc enorme → NULL → cierre.
Секция с count > 0 при offset 0.	A section with count > 0 at offset 0.	Una sección con count > 0 en offset 0.
Указатель NULL — краш при первом тесте коллизии.	A NULL pointer — a crash at the first collision test.	Puntero NULL — cierre en la primera prueba de colisión.
Секция выходит за пределы записи.	A section runs past the entry.	Una sección se sale de la entrada.
Указатели вне блока — краш.	Pointers outside the block — a crash.	Punteros fuera del bloque — cierre.
COL1: грань ссылается на несуществующую вершину.	COL1: a face refers to a vertex that does not exist.	COL1: una cara hace referencia a un vértice que no existe.
Плоскости из мусора — неверная коллизия или краш.	Planes out of garbage — wrong collision or a crash.	Planos de basura — colisión incorrecta o cierre.
COL1: больше 32767 граней.	COL1: more than 32767 faces.	COL1: más de 32767 caras.
Счётчик int16 — все треугольники игнорируются.	The counter is int16 — all triangles are ignored.	El contador es int16 — todos los triángulos se ignoran.
Упростить коллизию (< 32768 граней).	Simplify the collision (< 32768 faces).	Simplificar la colisión (< 32768 caras).
COL1: numSpheres читается как int16.	COL1: numSpheres is read as int16.	COL1: numSpheres se lee como int16.
Секции сместятся — мусор.	The sections shift — garbage.	Las secciones se desplazan — basura.
COL: координаты вне ±255.99.	COL: coordinates outside ±255.99.	COL: coordenadas fuera de ±255.99.
При загрузке ×128 в int16 — заворачиваются на 512 м, коллизия в другом месте.	Stored ×128 in int16 while loading — they wrap around at 512 m, the collision ends up elsewhere.	Al cargar se guardan ×128 en int16 — dan la vuelta a los 512 m, la colisión queda en otro sitio.
Коллизия объекта в ±255 от его центра (разбить большой объект).	Keep the object's collision within ±255 of its centre (split a big object).	Mantener la colisión del objeto en ±255 de su centro (dividir un objeto grande).
Плоскость грани с |n·v| ≥ 256.	A face plane with |n·v| ≥ 256.	Un plano de cara con |n·v| ≥ 256.
Расстояние плоскости не влезает в int16 — заворачивается.	The plane distance does not fit into int16 — it wraps around.	La distancia del plano no cabe en int16 — da la vuelta.
Уменьшить объект или сдвинуть к центру.	Shrink the object or move it towards the centre.	Reducir el objeto o acercarlo al centro.
Флаг face-групп есть, а места для счётчика групп нет.	The face-group flag is set but there is no room for the group counter.	Está el flag de grupos de caras pero no hay sitio para el contador de grupos.
Битая запись.	A broken entry.	Entrada rota.
Face-группа ссылается за конец массива граней.	A face group refers past the end of the face array.	Un grupo de caras apunta más allá del final del array de caras.
Чтение за массивами — краш.	A read past the arrays — a crash.	Lectura fuera de los arrays — cierre.
id поверхности больше 178.	A surface id greater than 178.	Un id de superficie mayor que 178.
Таблица поверхностей читается за пределами — трение/звук из мусора.	The surface table is read out of bounds — friction/sound from garbage.	La tabla de superficies se lee fuera de rango — fricción/sonido de basura.
Материал 0..178.	Material 0..178.	Material 0..178.
Флаг «есть коллизия» снят, хотя примитивы есть.	The «has collision» flag is off although there are primitives.	El flag «tiene colisión» está apagado aunque hay primitivas.
Все экземпляры без коллизии.	All instances without collision.	Todas las instancias sin colisión.
Включить флаг (переэкспортировать).	Turn the flag on (re-export).	Activar el flag (reexportar).
Флаг «есть коллизия» у пустой записи.	The «has collision» flag on an empty entry.	El flag «tiene colisión» en una entrada vacía.
Данных нет — объект без коллизии.	There is no data — an object without collision.	No hay datos — objeto sin colisión.
Добавить примитивы или снять флаг.	Add primitives or clear the flag.	Añadir primitivas o quitar el flag.
numShadowFaces > 0 при нулевых offset.	numShadowFaces > 0 with zero offsets.	numShadowFaces > 0 con offsets a cero.
Тень отключена, безвредно.	The shadow is disabled, harmless.	La sombra está desactivada, inofensivo.
Ничего.	Nothing.	Nada.
Теневая грань ссылается на несуществующую вершину.	A shadow face refers to a vertex that does not exist.	Una cara de sombra hace referencia a un vértice que no existe.
Чтение за массивом — краш.	A read past the array — a crash.	Lectura fuera del array — cierre.
Ограничивающий бокс не накрывает примитивы.	The bounding box does not cover the primitives.	La caja envolvente no cubre las primitivas.
Объект попадёт не во все секторы мира — местами без коллизии.	The object will not get into every world sector — no collision in places.	El objeto no entra en todos los sectores del mundo — sin colisión en algunas zonas.
Пересчитать бокс (переэкспортировать).	Recompute the box (re-export).	Recalcular la caja (reexportar).
Сфера DFF заметно больше сферы COL.	The DFF sphere is noticeably bigger than the COL sphere.	La esfera del DFF es bastante mayor que la esfera del COL.
Видимая модель отсекается по сфере COL — будет пропадать у краёв экрана.	The visible model is culled by the COL sphere — it will vanish near the screen edges.	El modelo visible se recorta por la esfera del COL — desaparecerá cerca de los bordes de la pantalla.
Сделать сферу COL не меньше сферы модели.	Make the COL sphere no smaller than the model's sphere.	Hacer la esfera del COL no menor que la esfera del modelo.
Имя встречается в .col дважды.	A name appears in the .col twice.	Un nombre aparece dos veces en el .col.
Вторая CColModel течёт/перезаписывает данные.	The second CColModel leaks/overwrites the data.	El segundo CColModel pierde/sobrescribe los datos.
Оставить одну запись.	Keep one entry.	Dejar una sola entrada.
COL для модели типа, который не владеет коллизией (пед/машина).	A COL for a model type that does not own a collision (ped/vehicle).	Un COL para un tipo de modelo que no posee colisión (ped/vehículo).
Запись пропущена — коллизия у таких моделей внутри DFF.	The entry is skipped — such models keep their collision inside the DFF.	La entrada se salta — esos modelos llevan la colisión dentro del DFF.
Убрать запись из .col.	Remove the entry from the .col.	Quitar la entrada del .col.
Подсказка id в COL не совпадает с IDE (в VC — больше стримовых .col, чем слотов).	The id hint in the COL does not match the IDE (in VC — more streamed .col files than slots).	La pista de id del COL no coincide con el IDE (en VC — más .col en streaming que ranuras).
id безвреден — имя главнее. VC: пул CColStore на 31 .col, лишние ломают загрузку коллизий.	The id is harmless — the name wins. VC: the CColStore pool holds 31 .col files, extra ones break collision loading.	El id es inofensivo — manda el nombre. VC: el pool CColStore tiene 31 .col, los sobrantes rompen la carga de colisiones.
Ничего; в VC — объединить .col-архивы.	Nothing; in VC — merge the .col archives.	Nada; en VC — unir los archivos .col.
Расставленная модель без записи COL (или LOD-модель, к которой не привязана ни одна модель).	A placed model without a COL entry (or a LOD model no model is linked to).	Modelo colocado sin entrada COL (o modelo LOD al que no está enlazado ningún modelo).
Краш при загрузке зоны: игра берёт коллизию по нулевому указателю.	Crash on loading the zone: the game takes the collision through a null pointer.	Crash al cargar la zona: el juego toma la colisión por un puntero nulo.
Добавить COL-запись; LOD — привязать к модели (кнопка «Связать все копии с LOD»), тогда COL ему не нужен.	Add a COL entry; for a LOD — link it to its model (the «Link every copy to its LOD» button), then it needs no COL.	Añade una entrada COL; para un LOD — enlázalo a su modelo (botón «Enlazar todas las copias con su LOD»), entonces no necesita COL.
LOD-модель с несколькими детьми и без COL.	A LOD model with several children and no COL.	Un modelo LOD con varios hijos y sin COL.
Коллизию наследует только LOD ровно с одним ребёнком — объект без коллизии.	Only a LOD with exactly one child inherits a collision — the object has none.	Solo un LOD con exactamente un hijo hereda la colisión — el objeto se queda sin ella.
Дать LOD собственную коллизию.	Give the LOD its own collision.	Dar al LOD su propia colisión.
Имя .col с интерьерным префиксом.	A .col name with an interior prefix.	Un nombre .col con prefijo de interior.
Коллизия грузится только когда игрок в интерьере.	The collision loads only while the player is in an interior.	La colisión solo se carga con el jugador dentro de un interior.
Для уличных объектов переименовать файл.	Rename the file for outdoor objects.	Para objetos exteriores renombrar el archivo.
COLFILE-запись больше 32 КБ.	A COLFILE entry bigger than 32 KB.	Una entrada COLFILE mayor de 32 KB.
Статический буфер переполнится — порча памяти при старте.	The static buffer overflows — memory corruption at startup.	El búfer estático se desborda — corrupción de memoria al arrancar.
Разбить коллизию или перенести в IMG.	Split the collision or move it into an IMG.	Dividir la colisión o pasarla a un IMG.
Бокс с min > max.	A box with min > max.	Una caja con min > max.
Никогда не пересечётся — нет коллизии.	It never intersects — no collision.	Nunca intersecta — sin colisión.
object.dat: модель не объявлена в IDE.	object.dat: the model is not declared in the IDE.	object.dat: el modelo no está declarado en el IDE.
Строка игнорируется.	The line is ignored.	La línea se ignora.
Исправить имя или удалить строку.	Fix the name or delete the line.	Corregir el nombre o borrar la línea.
Анимация без ключей.	An animation without keys.	Una animación sin claves.
Чтение кадра −1 — краш.	Reading frame −1 — a crash.	Lectura del fotograma −1 — cierre.
Записать хотя бы один ключ.	Write at least one key.	Escribir al menos una clave.
Анимация без костей.	An animation without bones.	Una animación sin huesos.
new[0] и чтение мимо массива при выгрузке — краш.	new[0] and a read past the array on unload — a crash.	new[0] y lectura fuera del array al descargar — cierre.
Удалить пустую анимацию.	Delete the empty animation.	Borrar la animación vacía.
frameDataSize меньше суммы ключей.	frameDataSize is less than the sum of the keys.	frameDataSize es menor que la suma de las claves.
Запись за выделенный блок — порча кучи.	A write past the allocated block — heap corruption.	Escritura fuera del bloque reservado — corrupción del heap.
frameType вне 1..4.	frameType outside 1..4.	frameType fuera de 1..4.
Ключи не читаются, поток рассинхронизируется.	The keys are not read, the stream goes out of sync.	Las claves no se leen, el flujo se desincroniza.
Смешаны сжатые и несжатые кости.	Compressed and uncompressed bones are mixed.	Huesos comprimidos y sin comprimir mezclados.
Класс берётся по первой — остальные читаются неверно.	The class is taken from the first — the rest are read wrongly.	La clase se toma del primero — el resto se lee mal.
Экспортировать все кости одним форматом.	Export all bones in one format.	Exportar todos los huesos en un solo formato.
Первый ключ не на 0 с.	The first key is not at 0 s.	La primera clave no está en 0 s.
Нулевой кадр не конвертируется, анимация сдвигается.	The zero frame is not converted, the animation shifts.	El fotograma cero no se convierte, la animación se desplaza.
Первый ключ на времени 0.	First key at time 0.	Primera clave en el tiempo 0.
Время ключей убывает.	Key times decrease.	Los tiempos de las claves decrecen.
Для катсцен безвредно; для игровых анимаций кадры проигрываются не по порядку.	Harmless for cutscenes; for gameplay animations the frames play out of order.	Inofensivo en cinemáticas; en animaciones de juego los fotogramas se reproducen desordenados.
Отсортировать ключи по времени.	Sort the keys by time.	Ordenar las claves por tiempo.
Несколько ключей на одном тике.	Several keys on one tick.	Varias claves en el mismo tick.
Схлопнутся в скачок.	They collapse into a jump.	Se colapsan en un salto.
Убрать дубликаты.	Remove the duplicates.	Quitar los duplicados.
Анимация длиннее 546 с.	An animation longer than 546 s.	Una animación de más de 546 s.
Тик int16 переполнится — мусор.	The int16 tick overflows — garbage.	El tick int16 se desborda — basura.
Укоротить.	Shorten it.	Acortarla.
Больше 32767 ключей.	More than 32767 keys.	Más de 32767 claves.
Счётчик int16.	The counter is int16.	El contador es int16.
Упростить анимацию.	Simplify the animation.	Simplificar la animación.
Имя пакета длиннее 15 символов.	A package name longer than 15 characters.	Un nombre de paquete de más de 15 caracteres.
Обрежется — блок не совпадёт с записью IMG.	It is truncated — the block will not match the IMG entry.	Se recorta — el bloque no coincidirá con la entrada IMG.
Имя ≤ 15 символов.	Name ≤ 15 characters.	Nombre ≤ 15 caracteres.
Больше IFP-блоков, чем вмещает таблица (SA 180, VC 35, III 2).	More IFP blocks than the table holds (SA 180, VC 35, III 2).	Más bloques IFP de los que caben en la tabla (SA 180, VC 35, III 2).
Таблица блоков переполняется — краш.	The block table overflows — a crash.	La tabla de bloques se desborda — cierre.
Меньше IFP или limit adjuster.	Fewer IFPs, or a limit adjuster.	Menos IFP, o un limit adjuster.
Слишком много групп в animgrp.dat.	Too many groups in animgrp.dat.	Demasiados grupos en animgrp.dat.
Максимум 27 своих (145 определений всего).	At most 27 of your own (145 definitions in total).	Como máximo 27 propios (145 definiciones en total).
Убрать лишние группы.	Remove the extra groups.	Quitar los grupos sobrantes.
INFO длиннее 260 байт.	INFO longer than 260 bytes.	INFO de más de 260 bytes.
Переполнение стека при загрузке — краш.	A stack overflow while loading — a crash.	Desbordamiento de pila al cargar — cierre.
Кватернион с NaN/inf.	A quaternion with NaN/inf.	Un cuaternión con NaN/inf.
Матрица кости NaN — меш исчезнет.	The bone matrix is NaN — the mesh vanishes.	La matriz del hueso es NaN — la malla desaparece.
Переэкспортировать анимацию (нормализовать повороты).	Re-export the animation (normalise the rotations).	Reexportar la animación (normalizar las rotaciones).
boneId вне int16.	boneId outside int16.	boneId fuera de int16.
Никогда не совпадёт с nodeID — кость не анимируется.	It never matches a nodeID — the bone is not animated.	Nunca coincidirá con un nodeID — el hueso no se anima.
boneId в пределах int16.	boneId within int16.	boneId dentro de int16.
Две анимации с одинаковым именем.	Two animations with the same name.	Dos animaciones con el mismo nombre.
Вторая недостижима.	The second is unreachable.	La segunda es inalcanzable.
Переименовать.	Rename.	Renombrar.
Ключи смещения на не-корневых костях.	Translation keys on non-root bones.	Claves de desplazamiento en huesos que no son raíz.
Смещение заменяет позицию кости — искажение скелета.	The translation replaces the bone position — a distorted skeleton.	El desplazamiento sustituye la posición del hueso — esqueleto deformado.
Смещения только у корня (или намеренно).	Translations on the root only (or on purpose).	Desplazamientos solo en la raíz (o a propósito).
Файл обрывается посреди анимации.	The file ends in the middle of an animation.	El archivo se corta en medio de una animación.
Имя пакета не совпадает с именем файла.	The package name does not match the file name.	El nombre del paquete no coincide con el nombre del archivo.
Игра заведёт второй блок — анимации не найдутся по имени файла.	The game opens a second block — the animations are not found by the file name.	El juego abre un segundo bloque — las animaciones no se encuentran por el nombre del archivo.
Имя пакета = имя файла.	Package name = file name.	Nombre del paquete = nombre del archivo.
Ключи масштаба.	Scale keys.	Claves de escala.
Движок читает и выбрасывает.	The engine reads and discards them.	El motor las lee y las descarta.
Безвредно; можно не экспортировать.	Harmless; can be left out of the export.	Inofensivo; se pueden no exportar.
Всего анимаций больше, чем вмещает таблица (SA 2500, VC 450, III 250).	More animations in total than the table holds (SA 2500, VC 450, III 250).	Más animaciones en total de las que caben en la tabla (SA 2500, VC 450, III 250).
Таблица анимаций переполнится — краш.	The animation table overflows — a crash.	La tabla de animaciones se desborda — cierre.
Меньше анимаций или limit adjuster.	Fewer animations, or a limit adjuster.	Menos animaciones, o un limit adjuster.
Секция не та, что ожидалась.	The section is not the expected one.	La sección no es la esperada.
Движок тег не проверяет и читает тело как есть — мусор.	The engine does not check the tag and reads the body as is — garbage.	El motor no comprueba la etiqueta y lee el cuerpo tal cual — basura.
anim/ped.ifp не найден.	anim/ped.ifp not found.	No se encontró anim/ped.ifp.
Краш при старте.	A crash at startup.	Cierre al arrancar.
Вернуть ped.ifp.	Restore ped.ifp.	Restaurar ped.ifp.
Машина типа car/quad/mtruck/trailer: не найдены все четыре wheel_*_dummy.	A vehicle of type car/quad/mtruck/trailer: not all four wheel_*_dummy were found.	Vehículo de tipo car/quad/mtruck/trailer: no se encontraron los cuatro wheel_*_dummy.
SetFrameIds ищет их по имени; без них колёса не создадутся и игра упадёт при спавне.	SetFrameIds looks them up by name; without them the wheels are not created and the game crashes on spawn.	SetFrameIds los busca por nombre; sin ellos las ruedas no se crean y el juego se cierra al aparecer el vehículo.
Назвать dummy колёс wheel_lf_dummy, wheel_rf_dummy, wheel_lb_dummy, wheel_rb_dummy.	Name the wheel dummies wheel_lf_dummy, wheel_rf_dummy, wheel_lb_dummy, wheel_rb_dummy.	Llamar a los dummies de rueda wheel_lf_dummy, wheel_rf_dummy, wheel_lb_dummy, wheel_rb_dummy.
Мотоцикл/BMX с именами колёс от машины.	A bike/BMX with car wheel names.	Una moto/BMX con nombres de rueda de coche.
Таблица bike ждёт wheel_front / wheel_rear — колёса не найдутся.	The bike table expects wheel_front / wheel_rear — the wheels are not found.	La tabla bike espera wheel_front / wheel_rear — las ruedas no se encuentran.
Переименовать в wheel_front, wheel_rear.	Rename to wheel_front, wheel_rear.	Renombrar a wheel_front, wheel_rear.
Нет chassis_dummy → chassis в иерархии.	No chassis_dummy → chassis in the hierarchy.	No hay chassis_dummy → chassis en la jerarquía.
У ванильных машин chassis_dummy — корень; без него движок не найдёт кузов и dummy.	In vanilla vehicles chassis_dummy is the root; without it the engine finds neither the body nor the dummies.	En los vehículos originales chassis_dummy es la raíz; sin él el motor no encuentra ni la carrocería ni los dummies.
Собрать иерархию как у ванильной модели того же типа.	Build the hierarchy like a vanilla model of the same type.	Montar la jerarquía como en un modelo original del mismo tipo.
Имя фрейма повторяется.	A frame name repeats.	Un nombre de frame se repite.
Hierarchy id ставится только первому; остальные фреймы с этим именем — обычные, деталь не работает.	The hierarchy id goes to the first one only; the other frames with this name are plain, the part does not work.	El id de jerarquía solo se asigna al primero; los demás frames con ese nombre son normales, la pieza no funciona.
Дать каждому фрейму уникальное имя из таблицы.	Give every frame a unique name from the table.	Dar a cada frame un nombre único de la tabla.
Имя фрейма из таблицы с суффиксом Blender (.001 и т.п.).	A frame name from the table with a Blender suffix (.001 etc.).	Un nombre de frame de la tabla con sufijo de Blender (.001, etc.).
Сравнение точное — движок считает фрейм чужим.	The comparison is exact — the engine treats the frame as foreign.	La comparación es exacta — el motor toma el frame como ajeno.
Убрать суффикс (аддон при экспорте делает это сам).	Remove the suffix (the addon does it on export).	Quitar el sufijo (el addon lo hace al exportar).
Не все имена из таблицы деталей найдены.	Not all names from the part table were found.	No se encontraron todos los nombres de la tabla de piezas.
Отсутствующие необязательные детали просто не появятся (двери, бамперы…).	Missing optional parts simply do not appear (doors, bumpers…).	Las piezas opcionales ausentes simplemente no aparecen (puertas, parachoques…).
Добавить нужные dummy/детали по таблице типа.	Add the needed dummies/parts per the type table.	Añadir los dummies/piezas necesarios según la tabla del tipo.
У машины нет коллизии ни в DFF, ни в .col.	The vehicle has no collision either in the DFF or in a .col.	El vehículo no tiene colisión ni en el DFF ni en un .col.
Машина без коллизии — проваливается сквозь мир.	A vehicle without collision — it falls through the world.	Vehículo sin colisión — se cae a través del mundo.
Экспортировать коллизию внутрь DFF (плагин Collision).	Export the collision inside the DFF (the Collision plugin).	Exportar la colisión dentro del DFF (plugin Collision).
Поезд: своя схема колёс.	Train: its own wheel scheme.	Tren: esquema de ruedas propio.
Правила VEH-01/02 к поезду не относятся.	The VEH-01/02 rules do not apply to trains.	Las reglas VEH-01/02 no se aplican a los trenes.
Имена wheel_rf1_dummy…wheel_lb3_dummy, bogie_front/rear.	Names wheel_rf1_dummy…wheel_lb3_dummy, bogie_front/rear.	Nombres wheel_rf1_dummy…wheel_lb3_dummy, bogie_front/rear.
Фрейм из таблицы деталей без атомика.	A frame from the part table without an atomic.	Un frame de la tabla de piezas sin atomic.
PreprocessHierarchy вызывает RpClumpRemoveAtomic по NULL — краш при спавне.	PreprocessHierarchy calls RpClumpRemoveAtomic on NULL — a crash on spawn.	PreprocessHierarchy llama a RpClumpRemoveAtomic con NULL — cierre al aparecer.
Дать фрейму меш или переименовать в dummy.	Give the frame a mesh or rename it to a dummy.	Dar al frame una malla o renombrarlo como dummy.
Dummy-фрейм владеет атомиком.	A dummy frame owns an atomic.	Un frame dummy posee un atomic.
Движок копирует позицию и уничтожает фрейм вместе с мешем — меш пропадёт / краш.	The engine copies the position and destroys the frame together with the mesh — the mesh vanishes / a crash.	El motor copia la posición y destruye el frame junto con la malla — la malla desaparece / cierre.
Dummy — пустышка без геометрии; меш — на отдельном фрейме.	A dummy is an empty without geometry; the mesh goes on a separate frame.	Un dummy es un vacío sin geometría; la malla va en un frame aparte.
У dummy-фрейма есть дочерние фреймы.	A dummy frame has child frames.	Un frame dummy tiene frames hijos.
При уничтожении dummy дети теряют родителя — краш.	When the dummy is destroyed the children lose their parent — a crash.	Al destruir el dummy los hijos pierden al padre — cierre.
Dummy без детей.	A dummy without children.	Dummy sin hijos.
Плагин Collision больше 16 КБ.	The Collision plugin is bigger than 16 KB.	El plugin Collision es mayor de 16 KB.
Читается в буфер 16 КБ — переполнение, порча памяти.	Read into a 16 KB buffer — an overflow, memory corruption.	Se lee en un búfer de 16 KB — desbordamiento, corrupción de memoria.
Упростить коллизию машины.	Simplify the vehicle collision.	Simplificar la colisión del vehículo.
Поле size плагина Collision не совпадает с телом.	The size field of the Collision plugin does not match the body.	El campo size del plugin Collision no coincide con el cuerpo.
Загрузчик коллизии прочитает мусор.	The collision loader reads garbage.	El cargador de colisión leerá basura.
Переэкспортировать коллизию.	Re-export the collision.	Reexportar la colisión.
Имя handling не из встроенных (SA 210, VC 106, III 57) или без строки в handling.cfg.	Handling name not among the built-in ones (SA 210, VC 106, III 57) or without a line in handling.cfg.	Nombre de handling que no está entre los integrados (SA 210, VC 106, III 57) o sin línea en handling.cfg.
GetHandlingId не найдёт — чтение за таблицей handling: машина без физики или краш.	GetHandlingId will not find it — read past the handling table: a car without physics, or a crash.	GetHandlingId no lo encontrará — lectura fuera de la tabla de handling: coche sin física o cierre.
Имя из handling.cfg (верхний регистр, ≤ 13 символов).	A name from handling.cfg (upper case, ≤ 13 characters).	Un nombre de handling.cfg (mayúsculas, ≤ 13 caracteres).
Тип машины не совпадает с типом handling.	The vehicle type does not match the handling type.	El tipo de vehículo no coincide con el tipo de handling.
Bike/boat/flying-данные возьмутся от чужой строки — поведение и краши.	The bike/boat/flying data comes from a foreign line — odd behaviour and crashes.	Los datos bike/boat/flying se toman de una línea ajena — comportamiento raro y cierres.
Handling того же класса, что и тип машины.	A handling of the same class as the vehicle type.	Un handling de la misma clase que el tipo de vehículo.
compRules ссылаются на пустой набор компонентов.	compRules refer to an empty component set.	compRules hace referencia a un conjunto de componentes vacío.
CountCompsInRule = 0 → деление/выбор из пустого — краш.	CountCompsInRule = 0 → a division/choice from nothing — a crash.	CountCompsInRule = 0 → división/elección sobre nada — cierre.
Исправить compRules (или 0 для «без правил»).	Fix compRules (or 0 for «no rules»).	Corregir compRules (o 0 para «sin reglas»).
compRules ссылаются на extra, которых в DFF нет.	compRules refer to extras that are not in the DFF.	compRules hace referencia a extras que no están en el DFF.
m_apExtras[n] = NULL — краш при выборе компонентов.	m_apExtras[n] = NULL — a crash when components are chosen.	m_apExtras[n] = NULL — cierre al elegir componentes.
Столько extra в DFF, сколько требует правило, или правило 0.	As many extras in the DFF as the rule requires, or rule 0.	Tantos extras en el DFF como exige la regla, o regla 0.
Блок анимаций из vehicles.ide не найден в IMG.	The animation block from vehicles.ide is not found in the IMGs.	El bloque de animaciones de vehicles.ide no está en los IMG.
GetAnimationBlockIndex −1 — анимации машины не стримятся.	GetAnimationBlockIndex −1 — the vehicle's animations do not stream.	GetAnimationBlockIndex −1 — las animaciones del vehículo no se cargan en streaming.
Положить .ifp в IMG или указать существующий блок.	Put the .ifp into an IMG or name an existing block.	Poner el .ifp en un IMG o indicar un bloque existente.
Радиус колёсной сферы ≤ 0 — машина проваливается/дёргается.	The wheel sphere radius is ≤ 0 — the vehicle sinks/jitters.	El radio de la esfera de rueda es ≤ 0 — el vehículo se hunde/tiembla.
Положительный масштаб колёс.	A positive wheel scale.	Escala de ruedas positiva.
wheelUpgradeClass не в −1..3.	wheelUpgradeClass not in −1..3.	wheelUpgradeClass fuera de −1..3.
Чтение за таблицей колёс в мод-гараже — краш.	A read past the wheel table in the mod garage — a crash.	Lectura fuera de la tabla de ruedas en el taller de tuning — cierre.
Значение −1..3.	A value in −1..3.	Valor en −1..3.
В vehicle.txd нет текстуры номерного знака.	vehicle.txd has no licence plate texture.	vehicle.txd no tiene la textura de la matrícula.
Инициализация номеров пишет по NULL — краш при старте.	The plate initialisation writes through NULL — a crash at startup.	La inicialización de matrículas escribe por NULL — cierre al arrancar.
